ID,Severity,Bug Description,Source File,Source File URL,Test File,Test File URL,Why This Severity,Status,Related INC,Jira Ticket
1,CRITICAL,Patient scope and security tags are mutually exclusive if/else — patient scope skips ALL tenant filtering,src/operations/security/scopesManager.js:128-134,https://github.com/icanbwell/fhir-server/blob/main/src/operations/security/scopesManager.js#L128,src/tests/unit/operations/security/scopesManager.crossTenant.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/security/scopesManager.crossTenant.test.js,Fundamental architecture flaw: patient scope = no tenant boundaries for all operations,Open,INC-331,
2,CRITICAL,ExportById returns S3 download URLs without verifying tenant ownership,src/operations/export/exportById.js:58-75,https://github.com/icanbwell/fhir-server/blob/main/src/operations/export/exportById.js#L58,src/tests/unit/operations/export/exportById.crossTenant.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/export/exportById.crossTenant.test.js,Any authenticated user can download any tenant's entire bulk export,Open,,
3,CRITICAL,Patient-scoped users can write to 16 non-patient-filterable resource types across tenant boundaries,src/operations/security/scopesManager.js,https://github.com/icanbwell/fhir-server/blob/main/src/operations/security/scopesManager.js,src/tests/unit/operations/security/patientScopeWriteBypass.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/security/patientScopeWriteBypass.test.js,Organization/Practitioner/ValueSet etc. bypass patient scope checks enabling cross-tenant injection,Open,,
4,CRITICAL,PATCH can modify meta.security tags — validator only blocks _ prefixed fields,src/operations/patch/patchValidator.js:17-25,https://github.com/icanbwell/fhir-server/blob/main/src/operations/patch/patchValidator.js#L17,src/tests/unit/operations/patch/patchSecurityTagEscalation.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/patch/patchSecurityTagEscalation.test.js,Users can PATCH meta.security to hijack resource ownership or escalate privileges,Open,,
5,CRITICAL,Conditional update/delete matches resources from other tenants when patient-scoped,src/operations/update/updateAsync.js,https://github.com/icanbwell/fhir-server/blob/main/src/operations/update/updateAsync.js,src/tests/unit/operations/update/conditionalCrossTenant.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/update/conditionalCrossTenant.test.js,PUT/DELETE with search params can target and modify/delete other tenants' resources,Open,,
6,CRITICAL,Bulk import pipeline lacks security tag validation — arbitrary owner tags written to database,src/operations/import/bulkImportConsumerRunner.js,https://github.com/icanbwell/fhir-server/blob/main/src/operations/import/bulkImportConsumerRunner.js,src/tests/unit/operations/import/bulkImportTenantIsolation.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/import/bulkImportTenantIsolation.test.js,Malicious NDJSON with foreign owner tags written directly without validation,Open,,
7,CRITICAL,GraphQL DataLoader caching serves cross-tenant resources without per-resource scope revalidation,src/graphqlv2/dataLoader.js,https://github.com/icanbwell/fhir-server/blob/main/src/graphqlv2/dataLoader.js,src/tests/unit/graphqlv2/crossTenantPhiLeakage.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/graphqlv2/crossTenantPhiLeakage.test.js,DataLoader returns other tenants' resources from batch query cache,Open,,
8,CRITICAL,$everything serves stale data from Redis for up to 600s after consent revocation,src/operations/everything/patientEverything.js,https://github.com/icanbwell/fhir-server/blob/main/src/operations/everything/patientEverything.js,src/tests/unit/operations/everything/patientEverything.consent.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/everything/patientEverything.consent.test.js,HIPAA violation: consent withdrawn but PHI still served from cache,Open,,
9,CRITICAL,Subscription queries missing client_person_id filter — cross-tenant SubscriptionStatus exposure,src/operations/subscription/subscriptionManager.js,https://github.com/icanbwell/fhir-server/blob/main/src/operations/subscription/subscriptionManager.js,src/tests/unit/operations/subscription/subscription.crossTenant.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/subscription/subscription.crossTenant.test.js,Tenants sharing same source_patient_id see each other's webhooks,Open,INC-332,
10,CRITICAL,_includeHidden=true accessible to any user — exposes hidden/soft-deleted cross-tenant resources,src/operations/query/r4.js:158-159,https://github.com/icanbwell/fhir-server/blob/main/src/operations/query/r4.js#L158,src/tests/unit/operations/query/searchQuery.crossTenant.test.js,https://github.com/icanbwell/fhir-server/blob/chore/add-unit-test-suite/src/tests/unit/operations/query/searchQuery.crossTenant.test.js,Any authenticated user can access resources marked hidden across all tenants,Open,,
